S.NO,symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,AAPL,27-05-2015 05:30,132.045,132.26,130.05,130.34,45833246,121.6825575,121.8806851,119.8441183,120.1113601,45833246,0,1
1,AAPL,28-05-2015 05:30,131.78,131.95,131.1,131.86,30733309,121.4383538,121.5950128,120.8117179,121.5120757,30733309,0,1
2,AAPL,29-05-2015 05:30,130.28,131.45,129.9,131.23,50884452,120.0560687,121.1342511,119.7058898,120.931516,50884452,0,1
3,AAPL,01-06-2015 05:30,130.535,131.39,130.05,131.2,32112797,120.2910572,121.0789597,119.8441183,120.9038703,32112797,0,1
4,AAPL,02-06-2015 05:30,129.96,130.655,129.32,129.86,33667627,119.7611812,120.40164,119.1714063,119.6690289,33667627,0,1
5,AAPL,03-06-2015 05:30,130.12,130.94,129.9,130.66,30983542,119.908625,120.6642742,119.7058898,120.4062476,30983542,0,1
6,AAPL,04-06-2015 05:30,129.36,130.58,128.91,129.58,38450118,119.2082672,120.3325257,118.7935817,119.4110023,38450118,0,1
7,AAPL,05-06-2015 05:30,128.65,129.69,128.36,129.5,35626800,118.5539856,119.5123699,118.2867438,119.3372805,35626800,0,1
8,AAPL,08-06-2015 05:30,127.8,129.21,126.83,128.9,52674786,117.7706907,119.0700387,116.876813,118.7843664,52674786,0,1
9,AAPL,09-06-2015 05:30,127.42,128.08,125.62,126.7,56075420,117.4205118,118.0287172,115.7617697,116.757015,56075420,0,1
10,AAPL,10-06-2015 05:30,128.88,129.34,127.85,127.92,39087250,118.765936,119.1898367,117.8167669,117.8812735,39087250,0,1
11,AAPL,11-06-2015 05:30,128.59,130.18,128.475,129.18,35390887,118.4986942,119.9639164,118.392719,119.042393,35390887,0,1
12,AAPL,12-06-2015 05:30,127.17,128.33,127.11,128.185,36886246,117.1901309,118.2590981,117.1348395,118.1254772,36886246,0,1
13,AAPL,15-06-2015 05:30,126.92,127.24,125.71,126.1,43988946,116.9597501,117.2546376,115.8447068,116.2041009,43988946,0,1
14,AAPL,16-06-2015 05:30,127.6,127.85,126.37,127.03,31494131,117.586386,117.8167669,116.4529122,117.0611177,31494131,0,1
15,AAPL,17-06-2015 05:30,127.3,127.88,126.74,127.72,32918071,117.309929,117.8444126,116.7938759,117.6969688,32918071,0,1
16,AAPL,18-06-2015 05:30,127.88,128.31,127.22,127.23,35407220,117.8444126,118.2406676,117.2362071,117.2454224,35407220,0,1
17,AAPL,19-06-2015 05:30,126.6,127.82,126.4,127.71,54716887,116.6648626,117.7891212,116.4805579,117.6877536,54716887,0,1
18,AAPL,22-06-2015 05:30,127.61,128.06,127.08,127.49,34039345,117.5956012,118.0102868,117.1071938,117.4850184,34039345,0,1
19,AAPL,23-06-2015 05:30,127.03,127.61,126.8792,127.48,30268863,117.0611177,117.5956012,116.9221519,117.4758032,30268863,0,1
20,AAPL,24-06-2015 05:30,128.11,129.8,127.12,127.21,55280855,118.0563629,119.6137375,117.1440548,117.2269919,55280855,0,1
21,AAPL,25-06-2015 05:30,127.5,129.2,127.5,128.86,31938100,117.4942337,119.0608235,117.4942337,118.7475055,31938100,0,1
22,AAPL,26-06-2015 05:30,126.75,127.99,126.51,127.67,44066841,116.8030911,117.9457801,116.5819255,117.6508927,44066841,0,1
23,AAPL,29-06-2015 05:30,124.53,126.47,124.48,125.46,49161427,114.7573092,116.5450646,114.711233,115.6143259,49161427,0,1
24,AAPL,30-06-2015 05:30,125.425,126.12,124.86,125.57,44370682,115.5820726,116.2225314,115.0614119,115.7156935,44370682,0,1
25,AAPL,01-07-2015 05:30,126.6,126.94,125.99,126.9,30238811,116.6648626,116.9781806,116.1027333,116.9413196,30238811,0,1
26,AAPL,02-07-2015 05:30,126.44,126.69,125.77,126.43,27210952,116.5174189,116.7477997,115.8999982,116.5082036,27210952,0,1
27,AAPL,06-07-2015 05:30,126,126.23,124.85,124.94,28060431,116.1119486,116.323899,115.0521967,115.1351338,28060431,0,1
28,AAPL,07-07-2015 05:30,125.69,126.15,123.77,125.89,46946811,115.8262763,116.2501771,114.0569514,116.010581,46946811,0,1
29,AAPL,08-07-2015 05:30,122.57,124.64,122.54,124.48,60761614,112.9511233,114.8586767,112.9234776,114.711233,60761614,0,1
30,AAPL,09-07-2015 05:30,120.07,124.06,119.22,123.85,78595038,110.6473148,114.3241932,109.8640199,114.1306733,78595038,0,1
31,AAPL,10-07-2015 05:30,123.28,123.85,121.21,121.94,61354474,113.6054049,114.1306733,111.6978515,112.3705636,61354474,0,1
32,AAPL,13-07-2015 05:30,125.66,125.755,124.32,125.03,41440538,115.7986306,115.8861753,114.5637893,115.2180709,41440538,0,1
33,AAPL,14-07-2015 05:30,125.61,126.37,125.04,126.04,31768139,115.7525544,116.4529122,115.2272861,116.1488095,31768139,0,1
34,AAPL,15-07-2015 05:30,126.82,127.15,125.58,125.72,33649200,116.8675978,117.1717005,115.7249087,115.853922,33649200,0,1
35,AAPL,16-07-2015 05:30,128.51,128.57,127.35,127.74,36222447,118.4249723,118.4802637,117.3560052,117.7153993,36222447,0,1
36,AAPL,17-07-2015 05:30,129.62,129.62,128.31,129.08,46164710,119.4478633,119.4478633,118.2406676,118.9502406,46164710,0,1
37,AAPL,20-07-2015 05:30,132.07,132.97,130.7,130.97,58900203,121.7055956,122.5349667,120.4431086,120.6919199,58900203,0,1
38,AAPL,21-07-2015 05:30,130.75,132.92,130.32,132.85,76756427,120.4891847,122.4888905,120.0929297,122.4243839,76756427,0,1
39,AAPL,22-07-2015 05:30,125.22,125.5,121.99,121.99,115450607,115.3931603,115.6511869,112.4166397,112.4166397,115450607,0,1
40,AAPL,23-07-2015 05:30,125.16,127.09,125.06,126.2,50999452,115.3378689,117.1164091,115.2457166,116.2962533,50999452,0,1
41,AAPL,24-07-2015 05:30,124.5,125.74,123.9,125.32,42162332,114.7296635,115.8723525,114.1767494,115.4853127,42162332,0,1
42,AAPL,27-07-2015 05:30,122.77,123.61,122.12,123.09,44455540,113.135428,113.9095076,112.5364378,113.4303155,44455540,0,1
43,AAPL,28-07-2015 05:30,123.38,123.91,122.55,123.38,33618097,113.6975573,114.1859647,112.9326928,113.6975573,33618097,0,1
44,AAPL,29-07-2015 05:30,122.99,123.5,122.27,123.15,37011653,113.3381631,113.8081401,112.6746663,113.4856069,37011653,0,1
45,AAPL,30-07-2015 05:30,122.37,122.5699,121.71,122.32,33628268,112.7668186,112.9510312,112.1586132,112.7207425,33628268,0,1
46,AAPL,31-07-2015 05:30,121.3,122.6425,120.91,122.6,42884953,111.7807886,113.0179338,111.4213945,112.978769,42884953,0,1
47,AAPL,03-08-2015 05:30,118.44,122.57,117.52,121.5,69975968,109.1452317,112.9511233,108.2974301,111.9650933,69975968,0,1
48,AAPL,04-08-2015 05:30,114.64,117.7,113.25,117.42,124138623,105.6434427,108.4633043,104.3625252,108.2052778,124138623,0,1
49,AAPL,05-08-2015 05:30,115.4,117.44,112.1,112.95,98384461,106.3438005,108.2237083,103.3027733,104.0860682,98384461,0,1
50,AAPL,06-08-2015 05:30,115.13,116.5,114.115,115.97,52903040,106.5741814,107.8423706,105.6346105,107.3517573,52903040,0.52,1
51,AAPL,07-08-2015 05:30,115.52,116.25,114.5,114.58,38670405,106.9351987,107.6109492,105.9909994,106.0650543,38670405,0,1
52,AAPL,10-08-2015 05:30,119.72,119.99,116.53,116.53,54951597,110.8230782,111.0730133,107.8701412,107.8701412,54951597,0,1
53,AAPL,11-08-2015 05:30,113.49,118.18,113.33,117.81,97082814,105.056057,109.3975224,104.9079473,109.0550187,97082814,0,1
54,AAPL,12-08-2015 05:30,115.24,115.42,109.63,112.53,101685610,106.6760068,106.8426302,101.4829107,104.1673988,101685610,0,1
55,AAPL,13-08-2015 05:30,115.15,116.4,114.54,116.04,48535789,106.5926951,107.7498021,106.0280269,107.4165552,48535789,0,1
56,AAPL,14-08-2015 05:30,115.96,116.31,114.01,114.32,42929516,107.3425004,107.6664904,105.5374135,105.824376,42929516,0,1
57,AAPL,17-08-2015 05:30,117.16,117.65,115.5,116.04,40884745,108.4533231,108.906909,106.916685,107.4165552,40884745,0,1
